House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
5,Beech Lake,Joel,Bray,70,Head,Widowed,Male,"Retired Librarian, public",None,Catholic
6,Beech Lake,William,Benson,38,Head,Single,Male,Medical illustrator,None,Christian
7,Beech Lake,Adrian,Foster,58,Head,Single,Male,Make,None,None
1,Todd Row,Billy,Jackson,33,Head,Divorced,Male,Unemployed,None,None
1,Todd Row,Megan,Jackson,4,Daughter,NA,Female,Child,None,NA
2,Todd Row,Philip,Baker,43,Head,Married,Male,Dramatherapist,None,Catholic
2,Todd Row,Judith,Baker,34,Wife,Married,Female,Patent examiner,None,Catholic
3,Todd Row,Sylvia,Simpson,47,Head,Married,Female,"Designer, blown glass/stained glass",None,Catholic
3,Todd Row,Benjamin,Simpson,53,Husband,Married,Male,Chartered public finance accountant,None,Catholic
3,Todd Row,Marie,Simpson,10,Daughter,NA,Female,Student,None,NA
3,Todd Row,Karen,Walker-Simpson,5,Daughter,NA,Female,Student,None,NA
3,Todd Row,Anna,Walker-Simpson,1,Daughter,NA,Female,Child,None,NA
4,Todd Row,Wayne,Williams,71,Head,Widowed,Male,Retired Quantity surveyor,None,Muslim
4,Todd Row,Donna,Williams,46,Daughter,Widowed,Female,"Psychologist, counselling",None,None
4,Todd Row,Bernard,Williams,45,Son,Single,Male,Financial manager,None,Muslim
4,Todd Row,Jemma,Williams,41,Daughter,Single,Female,Immigration officer,None,Muslim
5,Todd Row,Lawrence,Turner,27,Head,Married,Male,"Surveyor, planning and development",None,Christian
5,Todd Row,Tina,Turner,25,Wife,Married,Female,Public house manager,None,Christian
6,Todd Row,Irene,Chandler,72,Head,Married,Female,Retired Regulatory affairs officer,None,Christian
6,Todd Row,Justin,Chandler,78,Husband,Married,Male,Retired Advice worker,None,Christian
6,Todd Row,Simon,Chandler,41,Son,Single,Male,Charity fundraiser,None,None
6,Todd Row,Graham,Chandler,38,Son,Single,Male,Music therapist,None,Christian
1,Goodluck Avenue,Grace,Evans,21,Head,Single,Female,University Student,None,None
2,Goodluck Avenue,Raymond,Edwards,60,Head,Single,Male,Unemployed,None,Methodist
2,Goodluck Avenue,Kieran,Edwards,5,Grandson,NA,Male,Student,None,NA
3,Goodluck Avenue,Kenneth,Miller,77,Head,Widowed,Male,Retired Company secretary,None,None
4,Goodluck Avenue,Bernard,Haynes,37,Head,Single,Male,"Exhibitions officer, museum/gallery",None,Methodist
5,Goodluck Avenue,David,Pickering,27,Head,Divorced,Male,Research scientist (physical sciences),None,Methodist
6,Goodluck Avenue,Emma,Reynolds,51,Head,Married,Female,"Editor, magazine features",None,Christian
6,Goodluck Avenue,Richard,Reynolds,54,Husband,Married,Male,Geoscientist,None,Christian
6,Goodluck Avenue,Pauline,Reynolds,14,Daughter,NA,Female,Student,None,NA
7,Goodluck Avenue,Elaine,Jackson,52,Head,Divorced,Female,Unemployed,None,Christian
7,Goodluck Avenue,Alexandra,Jackson,9,Daughter,NA,Female,Student,None,NA
8,Goodluck Avenue,Simon,Todd,46,Head,Single,Male,Unemployed,None,None
8,Goodluck Avenue,Bethan,Mills,40,Partner,Single,Female,Banker,None,None
8,Goodluck Avenue,Sandra,Watson-Todd,6,Daughter,NA,Female,Student,None,NA
9,Goodluck Avenue,Gordon,Clark,56,Head,Divorced,Male,Marine scientist,None,None
10,Goodluck Avenue,Dean,Stephens,54,Head,Single,Male,Theatre manager,None,Christian
11,Goodluck Avenue,Danielle,Allen,58,Head,Single,Female,"Geneticist, molecular",None,Christian
11,Goodluck Avenue,Aaron,Allen,21,Son,Divorced,Male,University Student,None,Christian
11,Goodluck Avenue,Julia,Allen,19,Daughter,Divorced,Female,University Student,None,Christian
11,Goodluck Avenue,Colin,Allen,16,Son,NA,Male,Student,None,NA
12,Goodluck Avenue,Douglas,Stevens,35,Head,Single,Male,Glass blower/designer,None,Catholic
13,Goodluck Avenue,Timothy,Williams,28,Head,Single,Male,"Designer, jewellery",None,Catholic
13,Goodluck Avenue,Emily,Howells,62,None,Single,Female,Occupational hygienist,None,Catholic
14,Goodluck Avenue,Adam,Roberts,47,Head,Single,Male,"Teacher, secondary school",None,None
15,Goodluck Avenue,Phillip,Jones,73,Head,Divorced,Male,Retired Artist,None,Christian
16,Goodluck Avenue,Pauline,Reynolds,40,Head,Single,Female,Unemployed,None,Catholic
16,Goodluck Avenue,Alex,Reynolds,8,Son,NA,Male,Student,None,NA
16,Goodluck Avenue,Donald,Reynolds,8,Son,NA,Male,Student,None,NA
17,Goodluck Avenue,Karen,Pearson,68,Head,Widowed,Female,Retired Amenity horticulturist,None,Catholic
17,Goodluck Avenue,Gary,Kirk,15,Grandson,NA,Male,Student,None,NA
17,Goodluck Avenue,Harriet,Ellis,12,Granddaughter,NA,Female,Student,None,NA
17,Goodluck Avenue,Clare,Ellis,12,Granddaughter,NA,Female,Student,None,NA
18,Goodluck Avenue,Kayleigh,James,67,Head,Married,Female,Quality manager,None,None
18,Goodluck Avenue,Scott,James,66,Husband,Married,Male,Unemployed,None,None
18,Goodluck Avenue,Danny,James,33,Son,Single,Male,Rural practice surveyor,None,None
19,Goodluck Avenue,Aimee,Peters,63,Head,Single,Female,"Engineer, control and instrumentation",None,None
20,Goodluck Avenue,Charles,Singh,77,Head,Widowed,Male,Retired Corporate treasurer,None,None
21,Goodluck Avenue,Olivia,Bentley,33,Head,Single,Female,"Surveyor, minerals",None,None
22,Goodluck Avenue,Katie,Adams,58,Head,Married,Female,Analytical chemist,None,Methodist
22,Goodluck Avenue,Gordon,Adams,64,Husband,Married,Male,Media buyer,None,None
22,Goodluck Avenue,Carly,Adams,36,Daughter,Single,Female,Advertising account planner,None,None
23,Goodluck Avenue,Connor,Powell,62,Head,Single,Male,Barrister,None,Christian
24,Goodluck Avenue,Dawn,Green,66,Head,Divorced,Female,"Designer, television/film set",None,None
25,Goodluck Avenue,Terence,Murphy,68,Head,Widowed,Male,Retired Warden/ranger,None,Catholic
26,Goodluck Avenue,Marie,Newman,43,Head,Divorced,Female,Herbalist,None,Methodist
27,Goodluck Avenue,Martyn,Payne,69,Head,Divorced,Male,Retired Chartered public finance accountant,None,None
28,Goodluck Avenue,David,Cox,83,Head,Widowed,Male,"Retired Teacher, secondary school",None,None
28,Goodluck Avenue,Matthew,Cox,43,Son,Single,Male,Land/geomatics surveyor,None,None
29,Goodluck Avenue,Philip,Wells,24,Head,Divorced,Male,"Civil engineer, consulting",None,Catholic
30,Goodluck Avenue,Georgia,Shah,44,Head,Single,Female,"Civil engineer, contracting",None,None
31,Goodluck Avenue,Tina,Lees,29,Head,Single,Female,"Engineer, manufacturing",None,Muslim
32,Goodluck Avenue,Danny,Porter,28,Head,Divorced,Male,Archaeologist,None,None
33,Goodluck Avenue,Sean,Mitchell,32,Head,Married,Male,"Investment banker, corporate",None,None
33,Goodluck Avenue,Cheryl,Mitchell,30,Wife,Married,Female,Medical technical officer,None,None
34,Goodluck Avenue,Josephine,Watts,58,Head,Single,Female,Mudlogger,None,None
34,Goodluck Avenue,Beth,Berry,47,None,Single,Female,Risk manager,None,None
34,Goodluck Avenue,Christian,Sanderson,22,None,Single,Male,University Student,None,Sikh
35,Goodluck Avenue,Eileen,Simpson,19,Head,Single,Female,University Student,None,Catholic
36,Goodluck Avenue,Andrew,Thompson,47,Head,Married,Male,Risk analyst,None,Christian
36,Goodluck Avenue,Kimberley,Thompson,45,Wife,Married,Female,Armed forces logistics/support/administrative officer,None,Christian
36,Goodluck Avenue,Roger,Thompson,15,Son,NA,Male,Student,None,NA
36,Goodluck Avenue,Joan,Thompson,13,Daughter,NA,Female,Student,None,NA
37,Goodluck Avenue,Tom,Parker,30,Head,Divorced,Male,Diagnostic radiographer,None,None
38,Goodluck Avenue,Geraldine,McLean,51,Head,Married,Female,Ecologist,None,Christian
38,Goodluck Avenue,Keith,McLean,53,Husband,Married,Male,"Exhibitions officer, museum/gallery",None,None
39,Goodluck Avenue,Neil,Ferguson,72,Head,Divorced,Male,Retired Insurance underwriter,None,Christian
40,Goodluck Avenue,Joyce,Robson,24,Head,Single,Female,PhD Student,None,None
40,Goodluck Avenue,Elaine,Bennett,19,None,Single,Female,University Student,None,None
41,Goodluck Avenue,Glen,Brown,69,Head,Divorced,Male,Retired Commissioning editor,None,None
42,Goodluck Avenue,Joe,Williams,30,Head,Single,Male,Research scientist (life sciences),None,Muslim
43,Goodluck Avenue,Jemma,Watts,52,Head,Married,Female,Energy engineer,None,None
43,Goodluck Avenue,Thomas,Watts,55,Husband,Married,Male,"Psychologist, clinical",None,None
43,Goodluck Avenue,Duncan,Watts,27,Son,Divorced,Male,Museum education officer,None,None
44,Goodluck Avenue,Jenna,Finch,26,Head,Single,Female,Geophysicist/field seismologist,None,None
45,Goodluck Avenue,Julia,Roberts,44,Head,Divorced,Female,Printmaker,None,None
46,Goodluck Avenue,Katherine,James,32,Head,Widowed,Female,"Accountant, chartered management",None,None
47,Goodluck Avenue,Jay,Burgess,69,Head,Widowed,Male,"Retired Conservation officer, historic buildings",None,Jewish
48,Goodluck Avenue,Tina,Miles,57,Head,Single,Female,Multimedia programmer,None,Christian
49,Goodluck Avenue,Sarah,Lewis,36,Head,Single,Female,Equities trader,None,None
49,Goodluck Avenue,Lee,Gill,48,None,Single,Male,Film/video editor,None,Christian
50,Goodluck Avenue,Terence,Bartlett,54,Head,Divorced,Male,"Teacher, secondary school",None,Christian
51,Goodluck Avenue,Samantha,Dawson,35,Head,Divorced,Female,Rural practice surveyor,None,Christian
51,Goodluck Avenue,Carolyn,James,26,Sibling,Divorced,Female,Horticultural consultant,None,None
52,Goodluck Avenue,Angela,Quinn,81,Head,Widowed,Female,"Retired Teacher, English as a foreign language",None,Christian
53,Goodluck Avenue,Gareth,Kaur,59,Head,Single,Male,"Administrator, sports",None,Christian
54,Goodluck Avenue,Ian,Green,43,Head,Single,Male,Personnel officer,None,Christian
55,Goodluck Avenue,Clare,Baker,26,Head,Divorced,Female,Unemployed,None,None
55,Goodluck Avenue,Abdul,Baker,10,Son,NA,Male,Student,None,NA
55,Goodluck Avenue,Lucy,Briggs-Baker,9,Daughter,NA,Female,Student,None,NA
56,Goodluck Avenue,Ronald,Wilson,19,Head,Single,Male,University Student,None,None
57,Goodluck Avenue,Dale,Summers,23,Head,Divorced,Male,Estate agent,None,Sikh
58,Goodluck Avenue,Mary,Morgan,32,Head,Single,Female,"Geologist, wellsite",None,Catholic
59,Goodluck Avenue,Jonathan,Hewitt,85,Head,Married,Male,Retired Ranger/warden,None,Christian
59,Goodluck Avenue,Victoria,Hewitt,83,Wife,Married,Female,Retired Careers adviser,None,None
60,Goodluck Avenue,Lydia,Baker,29,Head,Divorced,Female,Broadcast engineer,None,Christian
60,Goodluck Avenue,Caroline,Baker,6,Daughter,NA,Female,Student,None,NA
61,Goodluck Avenue,Diana,Barlow,86,Head,Widowed,Female,Retired Quality manager,None,Christian
62,Goodluck Avenue,Brandon,Stokes,46,Head,Single,Male,Unemployed,None,Catholic
62,Goodluck Avenue,Wayne,Stokes,11,Son,NA,Male,Student,None,NA
62,Goodluck Avenue,Stewart,Stokes,7,Son,NA,Male,Student,None,NA
63,Goodluck Avenue,Louise,Cole,66,Head,Married,Female,"Surveyor, minerals",None,Catholic
63,Goodluck Avenue,Victor,Cole,67,Husband,Married,Male,Restaurant manager,None,Catholic
63,Goodluck Avenue,Zoe,Cole,39,Daughter,Single,Female,"Engineer, mining",None,Catholic
1,Apricotbox Avenue,Kelly,Bruce,56,Head,Single,Female,"Engineer, petroleum",None,Methodist
1,Apricotbox Avenue,Kenneth,Bell,27,None,Single,Male,Advertising art director,None,Catholic
1,Apricotbox Avenue,Arthur,Shah,59,None,Single,Male,Proofreader,None,Catholic
1,Apricotbox Avenue,Beverley,Cook,55,None,Single,Female,"Administrator, sports",None,None
1,Apricotbox Avenue,Victoria,Young,51,None,Single,Female,Chief Financial Officer,None,Christian
2,Apricotbox Avenue,Hollie,Khan,52,Head,Divorced,Female,"Psychologist, educational",None,Muslim
2,Apricotbox Avenue,Lesley,Khan,22,Daughter,Single,Female,University Student,None,Muslim
2,Apricotbox Avenue,Jason,Khan,19,Son,Single,Male,University Student,None,None
2,Apricotbox Avenue,Sam,Khan,16,Son,NA,Male,Student,None,NA
2,Apricotbox Avenue,Bernard,Khan,16,Son,NA,Male,Student,None,NA
2,Apricotbox Avenue,Samantha,Khan,12,Daughter,NA,Female,Student,None,NA
3,Apricotbox Avenue,Jane,Reed,61,Head,Single,Female,"Nurse, adult",None,Catholic
3,Apricotbox Avenue,Kelly,Reed,41,Daughter,Single,Female,Agricultural engineer,None,None
3,Apricotbox Avenue,Joyce,Reed,39,Daughter,Single,Female,"Civil engineer, contracting",None,None
3,Apricotbox Avenue,David,Reed,36,Son,Single,Male,"Surveyor, building control",None,None
3,Apricotbox Avenue,Nicola,Reed,33,Daughter,Divorced,Female,Unemployed,None,None
4,Apricotbox Avenue,Natasha,Smart,19,Head,Single,Female,University Student,None,None
4,Apricotbox Avenue,Denis,Hussain,20,None,Single,Male,University Student,None,Catholic
4,Apricotbox Avenue,James,Coles,20,None,Single,Male,University Student,None,Methodist
4,Apricotbox Avenue,Dorothy,O'Connor,21,None,Single,Female,University Student,None,Catholic
4,Apricotbox Avenue,Charlie,Nicholson,24,None,Single,Male,PhD Student,None,None
5,Apricotbox Avenue,Stephanie,Coates,51,Head,Divorced,Female,Broadcast presenter,None,Christian
5,Apricotbox Avenue,Reece,Coates,8,Son,NA,Male,Student,None,NA
5,Apricotbox Avenue,Callum,Coates,6,Son,NA,Male,Student,None,NA
5,Apricotbox Avenue,Sam,Coates,4,Son,NA,Male,Child,None,NA
5,Apricotbox Avenue,Gordon,Coates,0,Son,NA,Male,Child,None,NA
6,Apricotbox Avenue,Charlene,Hayward,71,Head,Married,Female,"Retired Administrator, local government",None,Sikh
6,Apricotbox Avenue,Oliver,Hayward,67,Husband,Married,Male,Science writer,None,Sikh
6,Apricotbox Avenue,Pauline,Hayward,37,Daughter,Single,Female,"Surveyor, building control",None,Sikh
6,Apricotbox Avenue,Hazel,Hayward,33,Daughter,Single,Female,Magazine journalist,None,None
6,Apricotbox Avenue,Timothy,Hayward,31,Son,Single,Male,Hospital doctor,None,Sikh
7,Apricotbox Avenue,Colin,Ward,36,Head,Divorced,Male,Dancer,None,Catholic
7,Apricotbox Avenue,Joseph,Ward,0,Son,NA,Male,Child,None,NA
7,Apricotbox Avenue,Barry,Davey,43,Lodger,Divorced,Male,Unemployed,None,None
7,Apricotbox Avenue,Francis,Lewis,24,Lodger,Single,Male,Lawyer,None,Christian
7,Apricotbox Avenue,Brian,Matthews,29,Lodger,Divorced,Male,Bookseller,None,None
8,Apricotbox Avenue,Sheila,White,43,Head,Divorced,Female,Unemployed,None,Catholic
8,Apricotbox Avenue,Ross,White,16,Son,NA,Male,Student,None,NA
8,Apricotbox Avenue,Wayne,White,14,Son,NA,Male,Student,None,NA
8,Apricotbox Avenue,Dominic,White,12,Son,NA,Male,Student,None,NA
8,Apricotbox Avenue,Molly,White,10,Daughter,NA,Female,Student,None,NA
9,Apricotbox Avenue,Paige,Davis,57,Head,Married,Female,"Engineer, biomedical",None,Methodist
9,Apricotbox Avenue,Liam,Davis,59,Husband,Married,Male,Legal secretary,None,None
9,Apricotbox Avenue,Tony,Davis,27,Son,Divorced,Male,Astronomer,None,Methodist
9,Apricotbox Avenue,Francis,Davis,25,Son,Single,Male,Quantity surveyor,None,None
9,Apricotbox Avenue,Glenn,Davis,23,Son,Single,Male,General practice doctor,None,None
9,Apricotbox Avenue,Laura,Davis,22,Daughter,Divorced,Female,University Student,None,Methodist
9,Apricotbox Avenue,Richard,Davis,22,Son,Divorced,Male,University Student,None,None
9,Apricotbox Avenue,Ross,Davis,20,Son,Single,Male,University Student,None,Methodist
9,Apricotbox Avenue,Adam,Davis,20,Son,Single,Male,University Student,None,None
9,Apricotbox Avenue,Jennifer,Davis,15,Daughter,NA,Female,Student,None,NA
9,Apricotbox Avenue,Alexandra,Davis,11,Daughter,NA,Female,Student,None,NA
9,Apricotbox Avenue,Andrea,Davis,10,Daughter,NA,Female,Student,None,NA
9,Apricotbox Avenue,Tracey,Davis,6,Daughter,NA,Female,Student,None,NA
9,Apricotbox Avenue,Abdul,Davis,1,Son,NA,Male,Child,None,NA
9,Apricotbox Avenue,Kerry,Harrison,27,Visitor,Single,Female,"Editor, film/video",None,Christian
10,Apricotbox Avenue,Sylvia,Robertson,34,Head,Married,Female,Unemployed,None,None
10,Apricotbox Avenue,Jason,Robertson,40,Husband,Married,Male,Training and development officer,Physical Disability,None
10,Apricotbox Avenue,Timothy,Robertson,7,Son,NA,Male,Student,None,NA
10,Apricotbox Avenue,Duncan,Robertson,6,Son,NA,Male,Student,None,NA
10,Apricotbox Avenue,Chelsea,Robertson,2,Daughter,NA,Female,Child,None,NA
10,Apricotbox Avenue,Anna,Barnett,38,Lodger,Widowed,Female,Marine scientist,None,Christian
11,Apricotbox Avenue,Elaine,Roberts,57,Head,Married,Female,"Engineer, drilling",None,Christian
11,Apricotbox Avenue,Colin,Roberts,62,Husband,Married,Male,Unemployed,None,None
11,Apricotbox Avenue,Arthur,Roberts,21,Son,Divorced,Male,University Student,None,Christian
11,Apricotbox Avenue,Joshua,Roberts,19,Son,Single,Male,University Student,None,Christian
11,Apricotbox Avenue,Joyce,Roberts,17,Daughter,NA,Female,Student,None,NA
12,Apricotbox Avenue,Debra,Harris,48,Head,Single,Female,Solicitor,None,None
12,Apricotbox Avenue,Bernard,Burgess,47,Partner,Single,Male,"Nurse, children's",None,None
12,Apricotbox Avenue,Damien,Harris,24,Son,Single,Male,Photographer,None,None
12,Apricotbox Avenue,Yvonne,Brown-Harris,20,Daughter,Single,Female,University Student,None,None
12,Apricotbox Avenue,Julian,Brown-Harris,10,Son,NA,Male,Student,None,NA
13,Apricotbox Avenue,Emma,Henry,40,Head,Married,Female,Unemployed,None,None
13,Apricotbox Avenue,Phillip,Henry,41,Husband,Married,Male,Phytotherapist,None,None
13,Apricotbox Avenue,Annette,Henry,12,Daughter,NA,Female,Student,None,NA
13,Apricotbox Avenue,Marc,Henry,9,Son,NA,Male,Student,None,NA
14,Apricotbox Avenue,Jennifer,Kent,67,Head,Divorced,Female,Educational psychologist,None,Methodist
14,Apricotbox Avenue,Wayne,Kent,25,Grandson,Single,Male,Occupational psychologist,None,Methodist
14,Apricotbox Avenue,Jonathan,Kent,22,Grandson,Single,Male,University Student,None,None
14,Apricotbox Avenue,Louise,Jones,21,Granddaughter,Single,Female,University Student,None,Methodist
14,Apricotbox Avenue,Adrian,Edwards,17,Grandson,NA,Male,Student,None,NA
14,Apricotbox Avenue,Margaret,Edwards,14,Granddaughter,NA,Female,Student,None,NA
14,Apricotbox Avenue,Marian,Wright,11,Granddaughter,NA,Female,Student,None,NA
14,Apricotbox Avenue,Timothy,Wright,10,Grandson,NA,Male,Student,None,NA
14,Apricotbox Avenue,Conor,Butcher,5,Grandson,NA,Male,Student,None,NA
14,Apricotbox Avenue,Jasmine,Smith-Butcher,4,Granddaughter,NA,Female,Child,None,NA
14,Apricotbox Avenue,Jasmine,Smith-Butcher,0,Granddaughter,NA,Female,Child,None,NA
14,Apricotbox Avenue,Barry,Williams,28,Lodger,Divorced,Male,Chartered accountant,None,Christian
15,Apricotbox Avenue,Christine,Hammond,32,Head,Single,Female,Unemployed,None,None
15,Apricotbox Avenue,Katherine,O'Brien,23,None,Single,Female,Primary school teacher,None,Catholic
15,Apricotbox Avenue,Alex,Davies,51,None,Single,Male,Unemployed,None,Methodist
15,Apricotbox Avenue,Alice,Davies,40,None,Single,Female,"Engineer, building services",None,None
15,Apricotbox Avenue,Joel,Carr,40,None,Single,Male,"Journalist, newspaper",None,None
16,Apricotbox Avenue,Sophie,Rogers,60,Head,Married,Female,Transport planner,None,Christian
16,Apricotbox Avenue,Geoffrey,Rogers,62,Husband,Married,Male,"Nurse, children's",None,Christian
16,Apricotbox Avenue,Marilyn,Rogers,3,Granddaughter,NA,Female,Child,None,NA
16,Apricotbox Avenue,Irene,Ellis,56,Lodger,Divorced,Female,IT technical support officer,None,Christian
16,Apricotbox Avenue,Lorraine,Morgan,45,Lodger,Single,Female,Mechanical engineer,None,None
17,Apricotbox Avenue,Donna,Smith,51,Head,Married,Female,"Psychologist, occupational",None,Catholic
17,Apricotbox Avenue,Russell,Smith,49,Husband,Married,Male,"Engineer, petroleum",None,None
17,Apricotbox Avenue,Fiona,Smith,19,Daughter,Divorced,Female,"Engineer, electrical",None,None
17,Apricotbox Avenue,Mohammed,Smith,16,Son,NA,Male,Student,None,NA
17,Apricotbox Avenue,Daniel,Smith,15,Son,NA,Male,Student,None,NA
17,Apricotbox Avenue,Frederick,Smith,13,Son,NA,Male,Student,None,NA
17,Apricotbox Avenue,Wendy,Smith,13,Daughter,NA,Female,Student,None,NA
17,Apricotbox Avenue,Stephanie,Smith,9,Daughter,NA,Female,Student,None,NA
17,Apricotbox Avenue,Janet,Smith,8,Daughter,NA,Female,Student,None,NA
18,Apricotbox Avenue,Deborah,Quinn,42,Head,Single,Female,Best boy,None,Catholic
18,Apricotbox Avenue,Christopher,Knight,45,Partner,Single,Male,"Therapist, drama",None,None
18,Apricotbox Avenue,Yvonne,Quinn,4,Daughter,NA,Female,Child,None,NA
18,Apricotbox Avenue,Alice,Quinn,4,Daughter,NA,Female,Child,None,NA
18,Apricotbox Avenue,Ross,Harrison,34,Lodger,Single,Male,Nutritional therapist,None,Muslim
19,Apricotbox Avenue,Naomi,Smith,51.46051107045311,Head,Married,Female,"Journalist, magazine",None,Christian
19,Apricotbox Avenue,Howard,Smith,53.46051107045311,Husband,Married,Male,Further education lecturer,None,None
19,Apricotbox Avenue,Nathan,Smith,8.0,Son,NA,Male,Student,None,NA
19,Apricotbox Avenue,Francesca,Smith,4.0,Daughter,NA,Female,Child,None,NA
19,Apricotbox Avenue,Natasha,Smith,1.0,Daughter,NA,Female,Child,None,NA
19,Apricotbox Avenue,Olivia,Knight,31,Lodger,Single,Female,Child psychotherapist,None,None
19,Apricotbox Avenue,Tina,Wright,19,Lodger,Single,Female,University Student,None,Catholic
19,Apricotbox Avenue,Clifford,Evans,28,Lodger,Divorced,Male,"Geneticist, molecular",None,Christian
19,Apricotbox Avenue,Jenna,Moore,36,Cousin,Divorced,Female,Science writer,None,Catholic
19,Apricotbox Avenue,Maureen,Wright,61,Lodger,Single,Female,"Designer, interior/spatial",None,Methodist
19,Apricotbox Avenue,Josephine,Walton,30,Lodger,Single,Female,Corporate treasurer,None,None
19,Apricotbox Avenue,Shirley,Owen,18,Lodger,Widowed,Female,Student,None,NA
19,Apricotbox Avenue,Norman,Thomas,64,Lodger,Single,Male,Firefighter,None,Catholic
19,Apricotbox Avenue,Rosie,Andrews,25,Lodger,Single,Female,Financial trader,None,Muslim
19,Apricotbox Avenue,Lynn,Murphy,37,Lodger,Single,Female,Charity officer,None,Catholic
20,Apricotbox Avenue,Harry,Jones,38,Head,Single,Male,Museum/gallery conservator,None,None
20,Apricotbox Avenue,Claire,Jackson,62,None,Single,Female,Actor,None,Christian
